name,url,price,rating,num_reviews,description,asin,product_description,manufacturer
,https://www.amazon.in/b/ref=sxts_spks_0_0_dbb31dc2-f6c4-487f-9f15-03751dec7efa?node=21102587031&pd_rd_w=nJ9Ml&content-id=amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa:amzn1.sym.dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_p=dbb31dc2-f6c4-487f-9f15-03751dec7efa&pf_rd_r=EQJPS0Q6RS2RKRGQKS7N&pd_rd_wg=XE3Nd&pd_rd_r=93f57b7c-7a6d-45b0-9fc7-bab91b484ffc&qid=1688573998,,,,,,,
,,,,,,,,
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,"₹1,199",4.0 out of 5 stars,"55,172",,,,
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_1_2917444031_1,₹599,4.1 out of 5 stars,"4,987",,,,
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_2_1984997031_1,₹849,4.3 out of 5 stars,"5,376",,,,
,https://www.amazon.in/s/ref=sxin_15_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=rzvwm&content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb:amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=EQJPS0Q6RS2RKRGQKS7N&pd_rd_wg=klT2a&pd_rd_r=df407646-6ce7-4adf-a8c5-fc3bc4c91292&qid=1688573998,₹709,4.2 out of 5 stars,Amazon’s private and select curated brands,,,,
,https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,₹709,4.2 out of 5 stars,600,,,,
,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,₹310,4.2 out of 5 stars,63,,,,
,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK?rdc=1&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,₹329,4.3 out of 5 stars,"29,824",,,,
,https://www.amazon.in/gp/bestsellers/kitchen/ref=sr_bs_3_kitchen_1,₹319,4.3 out of 5 stars,"32,978",,,,
,https://www.amazon.in/Amazon-Brand-Solimo-Cricket-Kit/dp/B08J8HQ3MD?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,₹849,4.3 out of 5 stars,60,,,,
,https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_5_1389022031_1,₹805,4.4 out of 5 stars,303,,,,
,https://www.amazon.in/Amazon-Brand-Solimo-Badminton-Rapid/dp/B08J8HJN8P?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,₹699,4.2 out of 5 stars,149,"About this item    Badminton Kit Bag for storing and carrying around racquet sets and other related essentials    Made using water-resistant polyester fabric on the outside and polyester fabric on the inside    High-quality zipper tested for 500 cycles offers smooth opening and closing action    Has undergone 19 product tests to ensure sturdiness and durability    Consists of two compartments that spaciously accommodate two sets of racquets    Comprises additional space for carrying shuttlecock, bottle, pair of clothes, keys, and more    Ideal for keeping racquet sets, water bottle, pair of clothing, keys, shuttlecock, and other such items    
   Equipped with both shoulder and hand straps for easy handling and carrying Product Dimensions:- 74 x 28 x 17 cm (29.13 x 11.02 x 6.69 inches), Weight: 650 grams (0.65 kg) Package Contents:- Amazon Brand - Solimo Badminton Kit Bag, Rapid; Colour: Blue   Show More",,"Store and carry your badminton gear without any hassle with the Solimo Badminton Kit Bag, Rapid. The outside of the badminton kit bag is manufactured using water-repellent polyester fabric, while the inside is made using polyester fabric. The badminton kit bag undergoes nineteen product tests to ensure sturdiness, durability, and the bag's quality. For secure opening and closing, this blue-hued badminton kit bag is equipped with a high-quality zipper tested for 500 cycles. The Solimo Badminton Kit Bag, Rapid, has two compartments that spaciously accommodate two sets of racquets, and additional space for storing shuttlecock, bottle, extra clothing, and more. Comprising ample space, the badminton kit bag is the perfect choice for keeping your badminton gear such as racquet sets, water bottle, pair of clothes, shoes, keys, shuttlecock, fitness items like bands, grips, and other such things. The provision of the sturdy shoulder and hand straps allow you to carry the bag effortlessly, wherever you go.",Brand: Amazon Brand - Solimo
,https://www.amazon.in/AmazonBasics-T1913-5-20-Inch-Carry-on-Orange/dp/B07P6PF6SP?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,"₹4,230",4.5 out of 5 stars,102,,,,
,,,,,,,,
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,₹550,4.3 out of 5 stars,"11,531",,,,
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_4_1375464031_1,"₹1,299",4.3 out of 5 stars,408,,,,
